time,1,2,3,4,5
1396310400,0,3,0,0,0
1398902400,0,3,0,0,0
1401580800,1,1,0,0,0
1404172800,1,0,0,0,0
1406851200,1,0,0,0,0
1409529600,1,1,0,0,1
1412121600,1,1,1,1,1
1414800000,2,2,1,1,2
1417392000,0,2,0,0,0
1420070400,0,1,1,2,0
1422748800,0,0,0,1,0
1425168000,1,2,1,4,1
1427846400,3,3,0,2,2
1430438400,0,6,0,2,0
1433116800,5,4,2,1,1
1435708800,2,4,0,0,0
1441065600,0,2,0,1,0
1443657600,2,0,0,2,0
1446336000,7,6,0,2,1
1448928000,1,1,0,0,1
1451606400,0,1,0,3,1
1454284800,2,1,0,2,1
1456790400,0,2,0,5,0
1459468800,1,1,0,0,1
1462060800,0,0,0,1,0
1464739200,0,1,0,1,0
1467331200,0,1,0,0,0
1470009600,1,0,0,0,1
1472688000,4,2,0,1,0
1475280000,3,5,2,5,1
1477958400,2,0,1,1,0
1480550400,0,2,0,0,0
1483228800,1,2,2,0,0
1488326400,0,0,0,1,0
1491004800,0,2,0,1,2
1493596800,0,2,0,2,0
1496275200,2,1,1,1,0
1498867200,2,0,1,2,0
1504224000,1,0,1,0,0
1506816000,0,0,0,1,0
1509494400,0,1,0,2,0
1512086400,1,2,1,1,0
1525132800,0,0,0,2,0
1527811200,0,0,0,1,0
